SRNo,Sno,StateCD,DistrictCD,BlockCode,SubDistrictCD,VillageCode,LabType,LabName,districtnm,blockNameEng,Email,Mobile,MNTF,BTF,STF,Prsn_Soil,Prsn_Technical,Prsn_Supporting,An_Routine,An_Full,Sa_Routine,Sa_Full,Charges_Full_Actual,Charges_Full_Charged,Charges_Routine_Actual,Charges_Routine_Charged,Govt_Funding,Static_Mobile,Status,Town_Village_Name,SubDistName,statenm,address,lat,long
1,466,31,3103,0,5923,9930,Govt,Soil Testing Laboratory,SOUTH ANDAMAN, ,diragri@and.nic.in,9476029138,Yes,Yes,No,1,5,2,12000,0,2424,729,0,0,0,0,State Government Scheme,Static,Complete,Port Blair ,Port Blair,A AND N ISLANDS,Port Blair SOUTH ANDAMAN A AND N ISLANDS,11.660289,92.752472
2,1724,1,111,4700,5336,8163,Govt,"AMC, STL, Dharmavaram",ANANTPUR,DHARMAVARAM                                       , ,8886614357,No,No,No,0,0,0,0,0,0,0,0,0,0,0,State Government Scheme,Static,Complete,Dharmavaram ,Dharmavaram,ANDHRA PRADESH,DHARMAVARAM Dharmavaram ANANTPUR ANDHRA PRADESH,14.4137447,77.7126189
3,1725,1,111,4729,5356,12034,Govt,"AMC, STL, Penugonda",ANANTPUR,PENUKONDA                                         , ,8886614357,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,State Government Scheme,Static,Complete,Penukonda,Penukonda,ANDHRA PRADESH,PENUKONDA Penukonda ANANTPUR ANDHRA PRADESH,14.0844312,77.5973233
4,556,1,111,4696,5329,603670,KVK,"KVK, Reddipalli",ANANTPUR,BUKKARAYASAMUDRAM                                 ,pcatp1@gmail.com,9989623825,No,No,Yes,0,1,0,800,0,780,0,550,275,550,275,Acharya N.G.Ranga Agricultural University,Static,Complete,Reddipalle,Bukkaraya Samudram,ANDHRA PRADESH,BUKKARAYASAMUDRAM Bukkaraya Samudram ANANTPUR ANDHRA PRADESH,14.6938794,77.6342819
5,548,1,111,4710,5321,603756,KVK,"SAMPLES WILL BE TESTED AT KVK, REDDIPALLI, ",ANANTPUR,KALYANDRUG                                        ,kvkkalyandurg@yahoo.com,770234449,No,No,No,1,1,1,100,100,250,250,150,150,150,150,"KVK, KALYANDYRG",Static,Complete,Kalyandurg ,Kalyandurg,ANDHRA PRADESH,KALYANDRUG Kalyandurg ANANTPUR ANDHRA PRADESH,14.5506321,77.1087176
6,1532,1,111,4689,5330,8155,Govt,"STL, Ananthapur",ANANTPUR,ANANTAPUR                                         ,stlatp@gmail.com,8886614357,Yes,No,Yes,1,4,2,8000,4100,11829,3408,130,30,75,10,State Government Scheme,Static,Complete,Anantapur ,Anantapur,ANDHRA PRADESH,ANANTAPUR Anantapur ANANTPUR ANDHRA PRADESH,14.6818877,77.6005911
7,1705,1,113,4755,5421,8264,Govt,"AMC, STL, Chittoor",CHITTOOR,CHITTOOR                                          ,14564504n@gmail.com,8886614182,Yes,No,Yes,1,1,1,5500,6750,2100,1002,130,30,75,10,State Government Scheme,Static,Complete,Chittoor ,Chittoor,ANDHRA PRADESH,CHITTOOR Chittoor CHITTOOR ANDHRA PRADESH,13.217176,79.1003289
8,1720,1,113,4768,5427,23658,Govt,"AMC, STL, Kuppam",CHITTOOR,KUPPAM                                            ,rajayalakshmi.mb@gmail.com,8886612540,Yes,No,Yes,1,1,1,5500,5250,2100,1002,130,30,75,10,State Government Scheme,Static,Complete,Kuppam ,Kuppam,ANDHRA PRADESH,KUPPAM Kuppam CHITTOOR ANDHRA PRADESH,12.7470314,78.3330157
9,1721,1,113,4770,5392,646603,Govt,"AMC, STL, Madanapalli",CHITTOOR,MADANAPALLE                                       ,aobkothakota@gmail.com,8886612552,No,No,Yes,1,0,0,2000,0,785,0,130,10,75,10,State Government Scheme,Static,Complete,Madanapalle ,Madanapalle,ANDHRA PRADESH,MADANAPALLE Madanapalle CHITTOOR ANDHRA PRADESH,13.5560496,78.5010007
10,74,1,113,4793,5383,646678,KVK,"RASS-KVK, TIRUPATHI",CHITTOOR,RENIGUNTA                                         ,arkvk@yahoo.co.in,9441532150,Yes,No,Yes,1,0,1,3000,600,1800,200,250,250,50,50,ICAR,Static,Complete,Tirupati ,Tirupati (Urban),ANDHRA PRADESH,RENIGUNTA Tirupati (Urban) CHITTOOR ANDHRA PRADESH,13.6343426,79.5112406
